Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
1,AlavÃ©s,es La Liga,30,28.7,42.7,38,418,"3,420",38,35,21,30,5,8,96,8,0.92,0.55,1.47,0.79,1.34,42.4,36.5,25.5,62,1.12,0.67,1.79,0.96,1.63
2,Angers,fr Ligue 1,31,27.9,46.2,38,418,"3,420",38,39,23,34,5,6,65,2,1.03,0.61,1.63,0.89,1.5,41.7,37.2,27.4,64.6,1.1,0.72,1.82,0.98,1.7
3,Arminia,de Bundesliga,26,26,42.2,34,374,"3,060",34,23,16,22,1,2,52,1,0.68,0.47,1.15,0.65,1.12,30.7,29.2,22.1,51.3,0.9,0.65,1.55,0.86,1.51
4,Arsenal,eng Premier League,29,25.9,53.8,38,418,"3,420",38,53,38,47,6,6,49,5,1.39,1,2.39,1.24,2.24,53.5,49,36.6,85.5,1.41,0.96,2.37,1.29,2.25
5,Aston Villa,eng Premier League,24,25.2,48.1,38,418,"3,420",38,52,38,47,5,6,71,4,1.37,1,2.37,1.24,2.24,52.9,48.5,37.1,85.6,1.39,0.98,2.37,1.28,2.25
6,Atalanta,it Serie A,30,27.3,54.9,38,418,"3,420",38,89,65,83,6,7,67,3,2.34,1.71,4.05,2.18,3.89,77.2,72,55.9,128,2.03,1.47,3.5,1.9,3.37
7,Athletic Club,es La Liga,27,26.6,49.8,38,418,"3,420",38,43,31,39,4,5,82,3,1.13,0.82,1.95,1.03,1.84,44.4,40.7,31.1,71.8,1.17,0.82,1.99,1.07,1.89
8,AtlÃ©tico Madrid,es La Liga,25,27.3,52.4,38,418,"3,420",38,65,54,60,5,7,100,0,1.71,1.42,3.13,1.58,3,52.4,46.8,37.8,84.6,1.38,0.99,2.37,1.23,2.23
9,Augsburg,de Bundesliga,25,27,41.3,34,374,"3,060",34,35,23,33,2,5,70,4,1.03,0.68,1.71,0.97,1.65,36.1,32.3,24.5,56.9,1.06,0.72,1.78,0.95,1.67
10,Barcelona,es La Liga,25,26.4,65.8,38,418,"3,420",38,80,51,76,4,8,72,2,2.11,1.34,3.45,2,3.34,78.9,72.6,57.4,130,2.08,1.51,3.59,1.91,3.42
11,Bayern Munich,de Bundesliga,29,27.3,61.1,34,374,"3,060",34,98,75,89,9,10,44,3,2.88,2.21,5.09,2.62,4.82,75.8,68.2,53.3,121.5,2.23,1.57,3.8,2.01,3.57
12,Benevento,it Serie A,29,28.7,42.3,38,418,"3,420",38,40,26,35,5,7,95,5,1.05,0.68,1.74,0.92,1.61,41.6,36.2,27.3,63.5,1.1,0.72,1.81,0.95,1.67
13,Betis,es La Liga,25,27.9,53.9,38,418,"3,420",38,50,35,42,8,11,93,8,1.32,0.92,2.24,1.11,2.03,46,37.8,29.9,67.7,1.21,0.79,2,1,1.78
14,Bologna,it Serie A,37,27.2,50.9,38,418,"3,420",38,49,38,46,3,4,82,4,1.29,1,2.29,1.21,2.21,53.4,50.5,37.4,87.9,1.41,0.98,2.39,1.33,2.31
15,Bordeaux,fr Ligue 1,28,27.6,49.7,38,418,"3,420",38,41,32,37,4,4,78,4,1.08,0.84,1.92,0.97,1.82,41.9,38.9,30.2,69.1,1.1,0.8,1.9,1.02,1.82
16,Brest,fr Ligue 1,26,24.9,49.3,38,418,"3,420",38,47,31,44,3,4,62,4,1.24,0.82,2.05,1.16,1.97,47.5,44.4,33.7,78.2,1.25,0.89,2.14,1.17,2.06
17,Brighton,eng Premier League,27,25.8,51.3,38,418,"3,420",38,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.5,51.6,44.8,33,77.8,1.36,0.87,2.23,1.18,2.05
18,Burnley,eng Premier League,25,28.3,41.7,38,418,"3,420",38,32,20,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,39.9,37.6,27.1,64.8,1.05,0.71,1.76,0.99,1.7
19,CÃ¡diz,es La Liga,34,28.8,34.3,38,418,"3,420",38,33,16,29,4,4,81,3,0.87,0.42,1.29,0.76,1.18,34,31,19,50,0.89,0.5,1.39,0.82,1.31
